,Start,End
306,2019-02-12 18:47:24.227824,2019-02-12 18:47:25.974226
307,2019-02-12 18:47:26.116550,2019-02-12 18:47:28.212558
308,2019-02-12 18:47:29.734241,2019-02-12 18:47:41.378262
309,2019-02-12 18:47:46.322505,2019-02-12 18:47:48.069833
310,2019-02-12 18:47:48.134042,2019-02-12 18:47:48.309509
311,2019-02-12 18:47:48.340155,2019-02-12 18:47:48.610924
312,2019-02-12 18:47:48.706668,2019-02-12 18:47:48.834933
313,2019-02-12 18:47:50.787716,2019-02-12 18:47:51.158026
314,2019-02-12 18:47:51.415642,2019-02-12 18:47:52.882248
315,2019-02-12 18:47:55.842498,2019-02-12 18:47:55.912685
316,2019-02-12 18:47:55.942014,2019-02-12 18:47:56.067214
317,2019-02-12 18:47:57.652919,2019-02-12 18:47:57.827158
318,2019-02-12 18:47:57.858743,2019-02-12 18:47:58.032708
319,2019-02-12 18:47:58.713024,2019-02-12 18:47:58.851842
320,2019-02-12 18:48:02.162177,2019-02-12 18:48:02.194130
321,2019-02-12 18:48:02.402787,2019-02-12 18:48:02.932612
322,2019-02-12 18:48:03.362890,2019-02-12 18:48:03.508542
323,2019-02-12 18:48:08.755031,2019-02-12 18:48:08.819990
324,2019-02-12 18:48:08.932667,2019-02-12 18:48:09.797454
325,2019-02-12 18:48:14.580925,2019-02-12 18:48:14.820383
326,2019-02-12 18:48:15.158029,2019-02-12 18:48:15.221425
327,2019-02-12 18:48:15.365779,2019-02-12 18:48:15.429447
328,2019-02-12 18:48:15.460287,2019-02-12 18:48:15.827071
329,2019-02-12 18:48:16.019570,2019-02-12 18:48:16.419189
330,2019-02-12 18:48:24.324227,2019-02-12 18:48:24.628150
331,2019-02-12 18:48:24.724093,2019-02-12 18:48:28.309452
332,2019-02-12 18:48:28.452910,2019-02-12 18:48:29.556084
333,2019-02-12 18:48:30.419085,2019-02-12 18:48:32.534939
334,2019-02-12 18:48:33.140247,2019-02-12 18:49:31.485285
335,2019-02-12 18:49:31.513863,2019-02-12 18:49:33.092499
336,2019-02-12 18:49:34.533504,2019-02-12 18:49:34.602226
337,2019-02-12 18:49:34.717268,2019-02-12 18:49:34.851140
338,2019-02-12 18:49:34.901125,2019-02-12 18:49:34.936602
339,2019-02-12 18:49:35.512038,2019-02-12 18:49:35.604458
340,2019-02-12 18:49:36.082319,2019-02-12 18:49:36.115930
341,2019-02-12 18:49:36.250012,2019-02-12 18:49:36.711215
342,2019-02-12 18:49:36.949669,2019-02-12 18:49:37.587672
343,2019-02-12 18:49:38.486995,2019-02-12 18:49:42.164679
344,2019-02-12 18:49:43.350612,2019-02-12 18:49:44.864325
345,2019-02-12 18:49:47.337444,2019-02-12 18:49:47.768867
346,2019-02-12 18:49:47.863754,2019-02-12 18:49:47.988926
347,2019-02-12 18:49:59.945658,2019-02-12 18:50:00.487589
348,2019-02-12 18:50:00.583361,2019-02-12 18:50:00.615879
349,2019-02-12 18:50:01.188620,2019-02-12 18:50:02.999330
350,2019-02-12 18:50:04.837421,2019-02-12 18:50:09.687541
351,2019-02-12 18:50:09.894593,2019-02-12 18:50:13.423055
352,2019-02-12 18:50:13.942046,2019-02-12 18:50:15.257777
353,2019-02-12 18:50:15.286667,2019-02-12 18:50:15.319379
354,2019-02-12 18:50:16.357288,2019-02-12 18:50:16.885003
355,2019-02-12 18:50:22.374759,2019-02-12 18:53:54.341848
356,2019-02-12 18:53:54.512697,2019-02-12 18:53:54.538118
357,2019-02-12 18:53:54.711077,2019-02-12 18:53:55.974810
358,2019-02-12 18:53:57.114134,2019-02-12 18:54:16.698278
359,2019-02-12 18:54:16.743055,2019-02-12 18:55:16.823444
360,2019-02-12 18:55:17.097674,2019-02-12 18:55:23.687550
361,2019-02-12 18:55:23.736836,2019-02-12 18:55:23.800228
362,2019-02-12 18:55:23.903779,2019-02-12 18:56:11.036322
363,2019-02-12 18:57:24.457996,2019-02-12 18:57:26.297094
364,2019-02-12 18:57:59.005285,2019-02-12 18:57:59.915216
365,2019-02-12 18:58:11.625418,2019-02-12 18:58:14.778294
366,2019-02-12 18:58:41.421532,2019-02-12 18:58:48.622346
367,2019-02-12 18:59:13.437963,2019-02-12 18:59:18.955890
368,2019-02-12 18:59:19.356288,2019-02-12 18:59:20.436160
369,2019-02-12 18:59:20.459221,2019-02-12 18:59:22.604371
370,2019-02-12 18:59:23.146528,2019-02-12 18:59:34.283527
371,2019-02-12 19:00:35.020158,2019-02-12 19:00:35.291494
372,2019-02-12 19:00:35.323076,2019-02-12 19:00:36.361653
373,2019-02-12 19:00:54.475937,2019-02-12 19:00:55.675996
374,2019-02-12 19:00:55.713049,2019-02-12 19:00:55.741373
375,2019-02-12 19:01:00.574847,2019-02-12 19:01:00.606893
376,2019-02-12 19:01:00.637974,2019-02-12 19:01:02.314958
377,2019-02-12 19:01:02.346410,2019-02-12 19:01:02.508686
378,2019-02-12 19:01:02.540964,2019-02-12 19:01:03.546472
379,2019-02-12 19:01:03.579011,2019-02-12 19:01:03.611017
380,2019-02-12 19:01:03.979523,2019-02-12 19:01:07.130412
381,2019-02-12 19:01:08.762808,2019-02-12 19:01:08.974629
382,2019-02-12 19:01:09.007134,2019-02-12 19:01:09.070612
383,2019-02-12 19:01:09.103198,2019-02-12 19:01:09.344464
384,2019-02-12 19:01:09.378556,2019-02-12 19:01:09.405627
385,2019-02-12 19:02:01.779297,2019-02-12 19:02:01.870608
386,2019-02-12 19:02:01.963471,2019-02-12 19:02:02.331523
387,2019-02-12 19:02:02.363688,2019-02-12 19:02:02.395176
388,2019-02-12 19:02:07.085939,2019-02-12 19:02:50.591249
389,2019-02-12 19:02:51.390289,2019-02-12 19:03:02.431192
390,2019-02-12 19:03:02.827233,2019-02-12 19:03:03.071145
391,2019-02-12 19:03:03.130696,2019-02-12 19:03:03.165692
392,2019-02-12 19:03:03.536185,2019-02-12 19:03:05.121522
393,2019-02-12 19:03:05.322356,2019-02-12 19:03:08.061191
394,2019-02-12 19:03:08.095134,2019-02-12 19:03:31.454642
395,2019-02-12 19:03:32.365709,2019-02-12 19:03:32.732729
396,2019-02-12 19:03:32.803335,2019-02-12 19:03:33.164604
397,2019-02-12 19:03:33.374860,2019-02-12 19:03:35.954356
398,2019-02-12 19:03:36.174236,2019-02-12 19:03:36.852380
399,2019-02-12 19:03:37.326464,2019-02-12 19:04:14.285006
400,2019-02-12 19:04:14.443777,2019-02-12 19:04:14.540955
401,2019-02-12 19:04:14.604243,2019-02-12 19:04:15.906410
402,2019-02-12 19:04:16.191297,2019-02-12 19:04:16.327160
403,2019-02-12 19:04:16.351725,2019-02-12 19:04:16.997952
404,2019-02-12 19:04:20.414631,2019-02-12 19:04:20.637585
405,2019-02-12 19:04:21.118632,2019-02-12 19:05:04.268069
406,2019-02-13 11:03:04.194401,2019-02-13 11:05:03.561549
